Ano;Grupo;Material;UnidadeMedida;DataUltimaCompra;Quantidade;ValorUnitario;ValorTotalItem
2026;DUTO;ARTE GRAFICA;VB;23/03/2026;2.0;316.0;632.0
2026;DUTO;CABO BUS (CABO BLINDADO 3x18 AWG) (SENSOR);M;23/03/2026;240.0;5.5;1320.0
2026;DUTO;CABO BUS (CABO BLINDADO 3x18 AWG) (VRF);M;23/03/2026;600.0;5.5;3300.0
2026;DUTO;CONJUNTO DE 3x GRELHAS DE RETORNO DE AR, DIM.: 1200x1500mm. DIM. TOTAL: 3600x1500mm. VAZÃO TOTAL 30.600-24.460M3/H. REF.: TROPICAL RHN 1200x1500mm.;UNID.;23/03/2026;6.0;4500.0;27000.0
2026;DUTO;CONTROLADOR MCP50-PRO;VB;23/03/2026;2.0;2967.42;5934.84
2026;DUTO;Cabo 2 x 18AWG;m;23/03/2026;500.0;6.97;3683.0
2026;DUTO;Cabo PP 4 x 1,5mm;M;23/03/2026;130.0;6.0;780.0
2026;DUTO;Colarinho c/ registro;;23/03/2026;74.0;71.0;5254.0
2026;DUTO;Conduletes e Acessórios;coj;23/03/2026;2.0;2688.1;5376.2
2026;DUTO;DIFUSOR DE AR DE ALTA INDUÇÃO - DIMENSÃO: 600x600mm - REF.: TROPICAL DMA TAM. 600.;UNID.;23/03/2026;148.0;432.642;64031.015999999996
2026;DUTO;DIVERSOS;VB;23/03/2026;2.0;1500.0;3000.0
2026;DUTO;Damper Sobre Pressão 1200 x 800;pç;23/03/2026;2.0;876.0;1752.0
2026;DUTO;Fonte Chaveada;pç;23/03/2026;2.0;43.51;87.02
2026;DUTO;"IHM 10""";VB;23/03/2026;2.0;3655.82;7311.64
2026;DUTO;Material Eletrico Diversos + Painel;vb;23/03/2026;2.0;4456.0;8912.0
2026;DUTO;PAINEL PARA IHM;VB;23/03/2026;2.0;400.0;800.0
2026;DUTO;Pressostato;vb;23/03/2026;6.0;210.0;1260.0
2026;DUTO;SENSOR TEMPERATURA AMBIENTE;VB;23/03/2026;6.0;70.96;425.76
2026;DUTO;SENSOR TEMPERATURA INSUFLAMENTO;VB;23/03/2026;6.0;120.0;720.0
2026;DUTO;Sonda SND;vb;23/03/2026;6.0;50.91;305.46
2026;DUTO;VENEZIANA TAE PARA TOMADA DE AR EXTERNO, COM FILTRO G4 E REGISTRO - DIM. 600x500mm - REF.: TROPICAL TAE 600x500mm.;UNID.;23/03/2026;4.0;539.6418;2158.5672
2026;DUTO;VENEZIANA TAE PARA TOMADA DE AR EXTERNO, COM FILTRO G4 E REGISTRO - DIM. 750x500mm - REF.: TROPICAL TAE 750x500mm.;UNID.;23/03/2026;2.0;652.023;1304.046
2026;DUTO;cabo de aço;;23/03/2026;1.0;621.73;621.73
2026;DUTOS;ADESIVO DE CONTATO PARA PAINEL MPU (LATA 2,8KG);LATA;23/03/2026;6.0;482.0;1700.0
2026;DUTOS;CHAPA DE AÇO GALVANIZADO #26;KG;23/03/2026;88.0;13.0;1144.0
2026;DUTOS;CHAPA DE MPU 20MM. REF.:MULTIVAC MPU.;M²;23/03/2026;1138.0;61.25;69636.0
2026;DUTOS;silicone Brancoi;;23/03/2026;50.0;11.0;550.0
2026;REDE FRIGORIGENA;ALUMÍNIO CORRUGADO;M²;23/03/2026;80.0;41.3;3304.0
2026;REDE FRIGORIGENA;Arame  + Regulador;pç;23/03/2026;1.0;429.78;429.78
2026;REDE FRIGORIGENA;CAIXA DE PASSAGEM PARA SPLIT. REF:;PÇ;23/03/2026;14.0;18.0;252.0
2026;REDE FRIGORIGENA;COLA PARA ESPUMA ELASTOMÉRICA. REF:ARMACELL  ARMAFLEX 520 S 0,9 L;LITROS;23/03/2026;5.0;110.0;550.0
2026;REDE FRIGORIGENA;CONEXÕES DE COBRE. REF:;VB;23/03/2026;4.0;2250.0;9000.0
2026;REDE FRIGORIGENA;CONJUNTO DE CALÇO DE BORRACHA OU SUPORTE TIPO MÃO FRANCESA;CJ;23/03/2026;41.0;554.3333333333334;7526.0
2026;REDE FRIGORIGENA;Curva de Cobre;pç;23/03/2026;8.0;53.78;430.24
2026;REDE FRIGORIGENA;FITA PARA PRESILHA;M;23/03/2026;40.0;7.655384615384615;306.2153846153846
2026;REDE FRIGORIGENA;FITA PRATA PARA JUNÇÃO DO ISOLAMENTO EM POLIETILENO;UN;23/03/2026;52.0;5.0;260.0
2026;REDE FRIGORIGENA;GÁS ACETILENO;UNID.;23/03/2026;14.0;200.0;2800.0
2026;REDE FRIGORIGENA;GÁS NITROGÊNIO;UNID.;23/03/2026;19.0;210.0;3990.0
2026;REDE FRIGORIGENA;GÁS OXIGENIO;UNID.;23/03/2026;14.0;130.0;1820.0
2026;REDE FRIGORIGENA;GÁS R410A.  (VRF). REF.:;KG;23/03/2026;265.0;114.8775;30436.29
2026;REDE FRIGORIGENA;GÁS R410A. (SPLIT). REF.:;KG;23/03/2026;18.0;115.0;2070.0
