Material;Grupo;UnidadeMedida;SomaQuantidade;SomaValorTotal;MenorPreco;MaiorPreco;Amostras;PrecoMedio;UltimoPreco;UltimaData
ADESIVO DE CONTATO PARA PAINEL MPU (LATA 2,8KG);DUTOS;LATA;5.0;920.0;184.0;184.0;1;184.0;184.0;23/03/2026
ALUMÍNIO CORRUGADO;REDE FRIGORIGENA;M²;40.0;1652.0;41.3;41.3;1;41.3;41.3;23/03/2026
ARTE GRAFICA;DUTO;VB;1.0;316.0;316.0;316.0;1;316.0;316.0;23/03/2026
CABO BUS (CABO BLINDADO 3x18 AWG) (SENSOR);DUTO;M;120.0;660.0;5.5;5.5;1;5.5;5.5;23/03/2026
CABO BUS (CABO BLINDADO 3x18 AWG) (VRF);DUTO;M;300.0;1650.0;5.5;5.5;1;5.5;5.5;23/03/2026
CAIXA DE PASSAGEM PARA SPLIT. REF:;REDE FRIGORIGENA;PÇ;14.0;252.0;18.0;18.0;1;18.0;18.0;23/03/2026
CHAPA DE AÇO GALVANIZADO #26;DUTOS;KG;44.0;572.0;13.0;13.0;1;13.0;13.0;23/03/2026
CHAPA DE MPU 20MM. REF.:MULTIVAC MPU.;DUTOS;M²;562.0;37092.0;66.0;66.0;1;66.0;66.0;23/03/2026
COLA PARA ESPUMA ELASTOMÉRICA. REF:ARMACELL  ARMAFLEX 520 S 0,9 L;REDE FRIGORIGENA;LITROS;3.0;330.0;110.0;110.0;2;110.0;110.0;23/03/2026
CONEXÕES DE COBRE. REF:;REDE FRIGORIGENA;VB;2.0;4500.0;500.0;4000.0;2;2250.0;4000.0;23/03/2026
CONJUNTO DE 3x GRELHAS DE RETORNO DE AR, DIM.: 1200x1500mm. DIM. TOTAL: 3600x1500mm. VAZÃO TOTAL 30.600-24.460M3/H. REF.: TROPICAL RHN 1200x1500mm.;DUTO;UNID.;3.0;13500.0;4500.0;4500.0;1;4500.0;4500.0;23/03/2026
