NomePlanilha;DataUltimaCompra;Grupo;Material;Quantidade;UnidadeMedida;ValorUnitario;ValorTotalItem
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (60m)";13,40;kg;75,00;1.005,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 5/8"" (30m)";11,50;kg;75,00;862,50
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/4"" (30m)";13,90;kg;75,00;1.042,50
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 3/8""";74,00;m;1,37;101,38
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 5/8""";38,00;m;1,69;64,22
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 3/4""";38,00;m;1,94;73,72
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Caixa de passagem para split. Ref: Polar;1,00;pç;18,00;18,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás nitrogênio;1,00;unid.;180,00;180,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás acetileno;1,00;unid.;100,00;100,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás Oxigenio;1,00;unid.;100,00;100,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Proteção mecânica em plastico hospitalar branco liso 0,10mmx50m (10cm);1,00;pç;30,00;30,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás R410a. Ref.: EOS (SPLIT);5,00;kg;75,00;375,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Fita prata para junção do isolamento em polietileno;8,00;un;5,00;40,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Conjunto de calço de borracha ou suporte tipo mão francesa;2,00;cj;60,00;120,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);40,00;cj;8,00;320,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;Coifa em Inox chapa 450x1200 #22;2,00;chapa;1.099,00;2.198,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;GRADE EM PLÁSTICO ABS PARA DESCARGA DE AR. REF.: SICFLUX S200;2,00;pc;16,40;32,80
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;DIFUSOR CIRCULAR, EM PLÁSTICO Ø200 MM. REF: SICFLUX RVA 200;6,00;Unid.;94,24;565,44
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;Tubo em PVC 200mm - barra 6m;12,00;barra;230,00;2.760,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;Curva PVC 200mm;8,00;pc;120,00;960,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTO;Suportes para tubo de PVC (Chumbador, porca, arruela, barra roscada, ferro chato).;56,00;cj.;10,00;560,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTO;Chapa de aço galvanizado #26. Ref.: GUERDAU;37,00;kg;13,00;481,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTO;Isolamento em lã de vidro;9,00;m²;16,00;144,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;CONTROLE E ELÉTRICA;Cabo elétrico 1,5mm²;500,00;m;0,96;480,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTO;Quadro de comando para as coifas;1,00;vb;1.000,00;1.000,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (60m)";16,00;kg;70,73;1.131,68
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 5/8"" (30m)";11,00;kg;70,73;778,03
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 7/8"" (30m)";15,00;kg;70,73;1.060,95
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 3/8""";68,00;m;1,55;105,40
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 5/8""";34,00;m;2,31;78,54
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 7/8""";34,00;m;3,00;102,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Caixa de passagem para split. Ref: Polar;1,00;pç;18,00;18,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás nitrogênio;1,00;unid.;180,00;180,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás acetileno;1,00;unid.;100,00;100,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás Oxigenio;1,00;unid.;100,00;100,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Proteção mecânica em plastico hospitalar branco liso 0,10mmx50m (10cm);1,00;pç;30,00;30,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás R410a. Ref.: EOS (SPLIT);16,57;kg;43,70;724,11
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás R32;5,00;kg;100,70;503,50
